,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,venue
10089,10090,20182019,R,2018-10-05,4,54,5,2,away win REG,T-Mobile Arena
10100,10101,20182019,R,2018-10-07,54,30,2,1,away win SO,Xcel Energy Center
10109,10110,20182019,R,2018-10-08,54,7,2,4,home win REG,KeyBank Center
10118,10119,20182019,R,2018-10-11,54,15,2,5,home win REG,Capital One Arena
10125,10126,20182019,R,2018-10-11,54,5,2,4,home win REG,PPG Paints Arena
10133,10134,20182019,R,2018-10-13,54,4,1,0,away win REG,Wells Fargo Center
10160,10161,20182019,R,2018-10-17,7,54,1,4,home win REG,T-Mobile Arena
10187,10188,20182019,R,2018-10-21,24,54,1,3,home win REG,T-Mobile Arena
10208,10209,20182019,R,2018-10-25,23,54,3,2,away win SO,T-Mobile Arena
10219,10220,20182019,R,2018-10-26,14,54,3,2,away win REG,T-Mobile Arena
10238,10239,20182019,R,2018-10-29,9,54,3,4,home win OT,T-Mobile Arena
10248,10249,20182019,R,2018-10-31,54,18,1,4,home win REG,Bridgestone Arena
10261,10262,20182019,R,2018-11-02,54,19,3,5,home win REG,Enterprise Center
10278,10279,20182019,R,2018-11-04,12,54,0,3,home win REG,T-Mobile Arena
10290,10291,20182019,R,2018-11-07,54,10,1,3,home win REG,Scotiabank Arena
10306,10307,20182019,R,2018-11-09,54,9,5,3,away win REG,Canadian Tire Centre
10321,10322,20182019,R,2018-11-11,54,8,4,5,home win REG,Centre Bell
10332,10333,20182019,R,2018-11-12,54,6,1,4,home win REG,TD Garden
10351,10352,20182019,R,2018-11-15,24,54,0,5,home win REG,T-Mobile Arena
10365,10366,20182019,R,2018-11-17,19,54,4,1,away win REG,T-Mobile Arena
10382,10383,20182019,R,2018-11-19,54,22,6,3,away win REG,Rogers Place
10390,10391,20182019,R,2018-11-20,54,20,2,7,home win REG,Scotiabank Saddledome
10403,10404,20182019,R,2018-11-22,54,53,3,2,away win OT,Gila River Arena
10413,10414,20182019,R,2018-11-23,20,54,0,2,home win REG,T-Mobile Arena
10431,10432,20182019,R,2018-11-25,28,54,0,6,home win REG,T-Mobile Arena
10449,10450,20182019,R,2018-11-28,54,16,8,3,away win REG,United Center
10464,10465,20182019,R,2018-11-30,54,23,4,3,away win REG,Rogers Arena
10481,10482,20182019,R,2018-12-02,54,22,1,2,home win REG,Rogers Place
10499,10500,20182019,R,2018-12-05,15,54,3,5,home win REG,T-Mobile Arena
10513,10514,20182019,R,2018-12-07,16,54,3,4,home win REG,T-Mobile Arena
10520,10521,20182019,R,2018-12-08,54,26,1,5,home win REG,STAPLES Center
