,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,venue,win_loss,streak
0,1,20102011,R,2010-10-07,12,30,4,3,away win REG,Hartwall Areena,l,-1
9,10,20102011,R,2010-10-08,30,12,1,2,home win SO,Hartwall Areena,l,-2
50,51,20102011,R,2010-10-15,22,30,2,4,home win REG,Xcel Energy Center,w,1
65,66,20102011,R,2010-10-17,29,30,3,2,away win REG,Xcel Energy Center,l,-1
75,76,20102011,R,2010-10-20,23,30,2,6,home win REG,Xcel Energy Center,w,1
91,92,20102011,R,2010-10-22,30,22,4,2,away win REG,Rexall Place,w,2
103,104,20102011,R,2010-10-23,30,23,1,5,home win REG,Rogers Arena,l,-1
117,118,20102011,R,2010-10-26,26,30,3,2,away win SO,Xcel Energy Center,l,-2
138,139,20102011,R,2010-10-29,15,30,1,2,home win REG,Xcel Energy Center,w,1
155,156,20102011,R,2010-10-31,16,30,3,1,away win REG,Xcel Energy Center,l,-1
166,167,20102011,R,2010-11-03,28,30,0,1,home win REG,Xcel Energy Center,w,1
188,189,20102011,R,2010-11-06,20,30,1,2,home win REG,Xcel Energy Center,w,2
191,192,20102011,R,2010-11-06,30,29,3,2,away win REG,Nationwide Arena,w,3
224,225,20102011,R,2010-11-12,30,11,1,5,home win REG,Philips Arena,l,-1
230,231,20102011,R,2010-11-13,30,13,1,2,home win REG,BankAtlantic Center,l,-2
232,233,20102011,R,2010-11-14,30,14,4,1,away win REG,St. Pete Times Forum,w,1
266,267,20102011,R,2010-11-18,24,30,1,2,home win OT,Xcel Energy Center,w,2
278,279,20102011,R,2010-11-20,30,17,4,3,away win OT,Joe Louis Arena,w,3
283,284,20102011,R,2010-11-21,3,30,5,2,away win REG,Xcel Energy Center,l,-1
310,311,20102011,R,2010-11-25,4,30,6,1,away win REG,Xcel Energy Center,l,-2
325,326,20102011,R,2010-11-26,18,30,2,5,home win REG,Xcel Energy Center,w,1
340,341,20102011,R,2010-11-28,30,21,4,7,home win REG,Pepsi Center,l,-1
350,351,20102011,R,2010-11-30,30,20,0,3,home win REG,Scotiabank Saddledome,l,-2
361,362,20102011,R,2010-12-02,27,30,4,2,away win REG,Xcel Energy Center,l,-3
376,377,20102011,R,2010-12-04,20,30,3,2,away win SO,Xcel Energy Center,l,-4
385,386,20102011,R,2010-12-05,30,25,3,4,home win OT,American Airlines Center,l,-5
412,413,20102011,R,2010-12-10,30,27,3,2,away win REG,Jobing.com Arena,w,1
428,429,20102011,R,2010-12-12,30,26,3,2,away win OT,Staples Center,w,2
439,440,20102011,R,2010-12-13,30,24,2,6,home win REG,Honda Center,l,-1
467,468,20102011,R,2010-12-17,9,30,3,1,away win REG,Xcel Energy Center,l,-2
480,481,20102011,R,2010-12-19,30,20,3,1,away win REG,Scotiabank Saddledome,w,1
488,489,20102011,R,2010-12-21,20,30,1,4,home win REG,Xcel Energy Center,w,2
515,516,20102011,R,2010-12-24,30,21,3,1,away win REG,Pepsi Center,w,3
519,520,20102011,R,2010-12-27,17,30,4,1,away win REG,Xcel Energy Center,l,-1
534,535,20102011,R,2010-12-28,30,29,3,4,home win SO,Nationwide Arena,l,-2
544,545,20102011,R,2010-12-30,28,30,3,5,home win REG,Xcel Energy Center,w,1
558,559,20102011,R,2010-12-31,18,30,4,1,away win REG,Xcel Energy Center,l,-1
574,575,20102011,R,2011-01-02,27,30,5,6,home win OT,Xcel Energy Center,w,1
587,588,20102011,R,2011-01-05,30,1,2,1,away win REG,Prudential Center,w,2
602,603,20102011,R,2011-01-07,30,6,3,1,away win REG,TD Garden,w,3
619,620,20102011,R,2011-01-09,30,5,4,0,away win REG,CONSOL Energy Center,w,4
620,621,20102011,R,2011-01-09,25,30,4,0,away win REG,Xcel Energy Center,l,-1
634,635,20102011,R,2011-01-12,30,18,1,5,home win REG,Bridgestone Arena,l,-2
657,658,20102011,R,2011-01-15,21,30,4,1,away win REG,Xcel Energy Center,l,-3
660,661,20102011,R,2011-01-16,23,30,0,4,home win REG,Xcel Energy Center,w,1
682,683,20102011,R,2011-01-19,30,22,4,1,away win REG,Rexall Place,w,2
693,694,20102011,R,2011-01-20,30,20,6,0,away win REG,Scotiabank Saddledome,w,3
717,718,20102011,R,2011-01-23,30,28,3,4,home win REG,HP Pavilion at San Jose,l,-1
737,738,20102011,R,2011-01-26,30,16,4,2,away win REG,United Center,w,1
751,752,20102011,R,2011-02-02,26,30,0,1,home win SO,Xcel Energy Center,w,2
770,771,20102011,R,2011-02-04,30,21,4,3,away win REG,Pepsi Center,w,3
783,784,20102011,R,2011-02-06,30,27,0,1,home win REG,Jobing.com Arena,l,-1
807,808,20102011,R,2011-02-10,21,30,2,3,home win REG,Xcel Energy Center,w,1
825,826,20102011,R,2011-02-12,30,19,5,4,away win SO,Scottrade Center,w,2
829,830,20102011,R,2011-02-13,19,30,1,3,home win REG,Xcel Energy Center,w,3
849,850,20102011,R,2011-02-16,23,30,4,1,away win REG,Xcel Energy Center,l,-1
857,858,20102011,R,2011-02-17,30,16,1,3,home win REG,United Center,l,-2
871,872,20102011,R,2011-02-19,24,30,1,5,home win REG,Xcel Energy Center,w,1
878,879,20102011,R,2011-02-20,17,30,2,1,away win SO,Xcel Energy Center,l,-1
894,895,20102011,R,2011-02-23,22,30,1,4,home win REG,Xcel Energy Center,w,1
908,909,20102011,R,2011-02-25,30,26,2,4,home win REG,Staples Center,l,-1
916,917,20102011,R,2011-02-26,30,24,3,2,away win OT,Honda Center,w,1
939,940,20102011,R,2011-03-01,16,30,4,2,away win REG,Xcel Energy Center,l,-1
954,955,20102011,R,2011-03-03,30,2,1,4,home win REG,Nassau Coliseum,l,-2
960,961,20102011,R,2011-03-04,30,3,3,1,away win REG,Madison Square Garden,w,1
982,983,20102011,R,2011-03-06,7,30,3,2,away win OT,Xcel Energy Center,l,-1
997,998,20102011,R,2011-03-09,21,30,2,5,home win REG,Xcel Energy Center,w,1
1008,1009,20102011,R,2011-03-11,30,18,0,4,home win REG,Bridgestone Arena,l,-1
1020,1021,20102011,R,2011-03-12,30,25,0,4,home win REG,American Airlines Center,l,-2
1038,1039,20102011,R,2011-03-15,30,23,2,4,home win REG,Rogers Arena,l,-3
1061,1062,20102011,R,2011-03-18,30,28,2,3,home win REG,HP Pavilion at San Jose,l,-4
1068,1069,20102011,R,2011-03-19,29,30,5,4,away win OT,Xcel Energy Center,l,-5
1077,1078,20102011,R,2011-03-20,8,30,8,1,away win REG,Xcel Energy Center,l,-6
1096,1097,20102011,R,2011-03-23,10,30,3,0,away win REG,Xcel Energy Center,l,-7
1124,1125,20102011,R,2011-03-27,19,30,6,3,away win REG,Xcel Energy Center,l,-8
1141,1142,20102011,R,2011-03-30,30,19,3,2,away win SO,Scottrade Center,w,1
1157,1158,20102011,R,2011-04-01,22,30,2,4,home win REG,Xcel Energy Center,w,2
1161,1162,20102011,R,2011-04-02,14,30,3,1,away win REG,Xcel Energy Center,l,-1
1176,1177,20102011,R,2011-04-03,30,17,2,4,home win REG,Joe Louis Arena,l,-2
1204,1205,20102011,R,2011-04-08,30,23,0,5,home win REG,Rogers Arena,l,-3
1212,1213,20102011,R,2011-04-09,30,22,3,1,away win REG,Rexall Place,w,1
1221,1222,20102011,R,2011-04-10,25,30,3,5,home win REG,Xcel Energy Center,w,2
1,2,20102011,R,2010-10-07,4,5,3,2,away win REG,CONSOL Energy Center,l,-1
16,17,20102011,R,2010-10-09,8,5,3,2,away win REG,CONSOL Energy Center,l,-2
30,31,20102011,R,2010-10-11,5,1,3,1,away win REG,Prudential Center,w,1
36,37,20102011,R,2010-10-13,10,5,4,3,away win REG,CONSOL Energy Center,l,-1
44,45,20102011,R,2010-10-15,2,5,2,3,home win OT,CONSOL Energy Center,w,1
55,56,20102011,R,2010-10-16,5,4,5,1,away win REG,Wells Fargo Center,w,2
69,70,20102011,R,2010-10-18,9,5,2,5,home win REG,CONSOL Energy Center,w,3
88,89,20102011,R,2010-10-22,5,18,4,3,away win OT,Bridgestone Arena,w,4
111,112,20102011,R,2010-10-24,5,19,0,1,home win OT,Scottrade Center,l,-1
124,125,20102011,R,2010-10-27,5,14,3,5,home win REG,St. Pete Times Forum,l,-2
137,138,20102011,R,2010-10-29,4,5,3,2,away win REG,CONSOL Energy Center,l,-3
141,142,20102011,R,2010-10-30,5,12,3,0,away win REG,RBC Center,w,1
