,Date,Visitor,GV,Home,GH,w_l,streak
3,2018-10-03,Boston Bruins,0,Washington Capitals,7,l,-1
4,2018-10-04,Boston Bruins,4,Buffalo Sabres,0,w,1
32,2018-10-08,Ottawa Senators,3,Boston Bruins,6,w,2
44,2018-10-11,Edmonton Oilers,1,Boston Bruins,4,w,3
57,2018-10-13,Detroit Red Wings,2,Boston Bruins,8,w,4
86,2018-10-17,Boston Bruins,2,Calgary Flames,5,l,-1
91,2018-10-18,Boston Bruins,2,Edmonton Oilers,3,l,-2
111,2018-10-20,Boston Bruins,1,Vancouver Canucks,2,l,-3
128,2018-10-23,Boston Bruins,4,Ottawa Senators,1,w,1
134,2018-10-25,Philadelphia Flyers,0,Boston Bruins,3,w,2
148,2018-10-27,Montreal Canadiens,3,Boston Bruins,0,l,-1
169,2018-10-30,Boston Bruins,3,Carolina Hurricanes,2,w,1
199,2018-11-03,Boston Bruins,0,Nashville Predators,1,l,-1
210,2018-11-05,Dallas Stars,1,Boston Bruins,2,w,1
226,2018-11-08,Vancouver Canucks,8,Boston Bruins,5,l,-1
241,2018-11-10,Toronto Maple Leafs,1,Boston Bruins,5,w,1
252,2018-11-11,Vegas Golden Knights,1,Boston Bruins,4,w,2
273,2018-11-14,Boston Bruins,3,Colorado Avalanche,6,l,-1
288,2018-11-16,Boston Bruins,0,Dallas Stars,1,l,-2
291,2018-11-17,Boston Bruins,2,Arizona Coyotes,1,w,1
322,2018-11-21,Boston Bruins,2,Detroit Red Wings,3,l,-1
333,2018-11-23,Pittsburgh Penguins,1,Boston Bruins,2,w,1
350,2018-11-24,Boston Bruins,3,Montreal Canadiens,2,w,2
365,2018-11-26,Boston Bruins,2,Toronto Maple Leafs,4,l,-1
381,2018-11-29,New York Islanders,1,Boston Bruins,2,w,1
395,2018-12-01,Detroit Red Wings,4,Boston Bruins,2,l,-1
418,2018-12-04,Boston Bruins,0,Florida Panthers,5,l,-2
435,2018-12-06,Boston Bruins,2,Tampa Bay Lightning,3,l,-3
444,2018-12-08,Toronto Maple Leafs,3,Boston Bruins,6,w,1
456,2018-12-09,Boston Bruins,2,Ottawa Senators,1,w,2
464,2018-12-11,Arizona Coyotes,3,Boston Bruins,4,w,3
492,2018-12-14,Boston Bruins,3,Pittsburgh Penguins,5,l,-1
504,2018-12-16,Buffalo Sabres,4,Boston Bruins,2,l,-2
513,2018-12-17,Boston Bruins,4,Montreal Canadiens,0,w,1
530,2018-12-20,Anaheim Ducks,1,Boston Bruins,3,w,2
545,2018-12-22,Nashville Predators,2,Boston Bruins,5,w,3
558,2018-12-23,Boston Bruins,3,Carolina Hurricanes,5,l,-1
566,2018-12-27,New Jersey Devils,5,Boston Bruins,2,l,-2
583,2018-12-29,Boston Bruins,3,Buffalo Sabres,2,w,1
611,2019-01-01,Boston Bruins,4,Chicago Blackhawks,2,w,2
620,2019-01-03,Calgary Flames,4,Boston Bruins,6,w,3
635,2019-01-05,Buffalo Sabres,1,Boston Bruins,2,w,4
656,2019-01-08,Minnesota Wild,0,Boston Bruins,4,w,5
670,2019-01-10,Washington Capitals,4,Boston Bruins,2,l,-1
696,2019-01-12,Boston Bruins,3,Toronto Maple Leafs,2,w,1
704,2019-01-14,Montreal Canadiens,3,Boston Bruins,2,l,-1
723,2019-01-16,Boston Bruins,3,Philadelphia Flyers,4,l,-2
725,2019-01-17,St. Louis Blues,2,Boston Bruins,5,w,1
739,2019-01-19,New York Rangers,3,Boston Bruins,2,l,-1
772,2019-01-29,Winnipeg Jets,4,Boston Bruins,3,l,-2
777,2019-01-31,Philadelphia Flyers,3,Boston Bruins,2,l,-3
803,2019-02-03,Boston Bruins,1,Washington Capitals,0,w,1
808,2019-02-05,New York Islanders,1,Boston Bruins,3,w,2
820,2019-02-06,Boston Bruins,3,New York Rangers,4,l,-1
838,2019-02-09,Los Angeles Kings,4,Boston Bruins,5,w,1
851,2019-02-10,Colorado Avalanche,1,Boston Bruins,2,w,2
862,2019-02-12,Chicago Blackhawks,3,Boston Bruins,6,w,3
887,2019-02-15,Boston Bruins,3,Anaheim Ducks,0,w,4
895,2019-02-16,Boston Bruins,4,Los Angeles Kings,2,w,5
914,2019-02-18,Boston Bruins,6,San Jose Sharks,5,w,6
927,2019-02-20,Boston Bruins,3,Vegas Golden Knights,2,w,7
