game_id,season,type,date_time,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id
1,20102011,R,2010-10-07,2010-10-07T16:00:00Z,12,30,4,3,away win REG,right,Hartwall Areena,/api/v1/venues/null,America/Chicago
2,20102011,R,2010-10-07,2010-10-07T23:00:00Z,4,5,3,2,away win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York
3,20102011,R,2010-10-07,2010-10-07T23:00:00Z,8,10,2,3,home win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto
4,20102011,R,2010-10-08,2010-10-08T23:30:00Z,7,9,2,1,away win REG,left,Scotiabank Place,/api/v1/venues/null,America/New_York
5,20102011,R,2010-10-08,2010-10-08T19:00:00Z,28,29,3,2,away win REG,left,Ericsson Globe,/api/v1/venues/null,America/New_York
6,20102011,R,2010-10-08,2010-10-08T23:30:00Z,15,11,2,4,home win REG,NA,Philips Arena,/api/v1/venues/null,America/New_York
7,20102011,R,2010-10-08,2010-10-08T23:30:00Z,24,17,0,4,home win REG,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit
8,20102011,R,2010-10-08,2010-10-08T23:00:00Z,25,1,4,3,away win OT,left,Prudential Center,/api/v1/venues/null,America/New_York
9,20102011,R,2010-10-08,2010-10-08T02:00:00Z,16,21,3,4,home win OT,right,Pepsi Center,/api/v1/venues/null,America/Denver
10,20102011,R,2010-10-08,2010-10-08T16:00:00Z,30,12,1,2,home win SO,right,Hartwall Areena,/api/v1/venues/null,America/New_York
11,20102011,R,2010-10-08,2010-10-08T02:00:00Z,20,22,0,4,home win REG,left,Rexall Place,/api/v1/venues/null,America/Edmonton
12,20102011,R,2010-10-09,2010-10-09T23:00:00Z,25,2,5,4,away win SO,left,Nassau Coliseum,/api/v1/venues/null,America/New_York
13,20102011,R,2010-10-09,2010-10-09T23:00:00Z,3,7,6,3,away win REG,left,HSBC Arena,/api/v1/venues/null,America/New_York
14,20102011,R,2010-10-09,2010-10-09T23:30:00Z,11,14,3,5,home win REG,left,St. Pete Times Forum,/api/v1/venues/null,America/New_York
15,20102011,R,2010-10-09,2010-10-09T19:00:00Z,29,28,3,2,away win OT,left,Ericsson Globe,/api/v1/venues/null,America/Los_Angeles
16,20102011,R,2010-10-09,2010-10-09T16:00:00Z,27,6,5,2,away win REG,left,O2 Czech Republic,/api/v1/venues/null,America/New_York
17,20102011,R,2010-10-09,2010-10-09T23:00:00Z,8,5,3,2,away win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York
18,20102011,R,2010-10-09,2010-10-09T23:00:00Z,9,10,1,5,home win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto
19,20102011,R,2010-10-09,2010-10-09T23:00:00Z,1,15,2,7,home win REG,right,Verizon Center,/api/v1/venues/null,America/New_York
20,20102011,R,2010-10-10,2010-10-10T00:00:00Z,4,19,1,2,home win OT,left,Scottrade Center,/api/v1/venues/null,America/Chicago
