Date,Year,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Goal_diff_away,Puckline_away,OU_open,Over_open,OU_close,Over_close,VH,Team,1st,2nd,3rd,Final,Open,Close,Goal_diff_home,Puckline_home,OU_open2,Under_open,OU_close2,Under_close
1007,2010,1,V,Carolina,1,3,0,4,-105,100,,,,,,,H,Minnesota,1,1,1,3,-115,-120,,,,,,
1007,2010,2,H,Minnesota,1,1,1,3,-115,-120,,,,,,,,,,,,,,,,,,,,
1007,2010,3,V,Philadelphia,0,2,1,3,147,150,,,,,,,H,Pittsburgh,0,0,2,2,-167,-170,,,,,,
1007,2010,4,H,Pittsburgh,0,0,2,2,-167,-170,,,,,,,,,,,,,,,,,,,,
1007,2010,5,V,Montreal,1,0,1,2,110,135,,,,,,,H,Toronto,2,0,1,3,-130,-155,,,,,,
1007,2010,6,H,Toronto,2,0,1,3,-130,-155,,,,,,,,,,,,,,,,,,,,
1007,2010,7,V,Chicago,1,1,1,3,-120,-135,,,,,,,H,Colorado,1,2,0,4,100,115,,,,,,
1007,2010,8,H,Colorado,1,2,0,4,100,115,,,,,,,,,,,,,,,,,,,,
1007,2010,9,V,Calgary,0,0,0,0,-104,-110,,,,,,,H,Edmonton,1,0,3,4,-116,-110,,,,,,
1007,2010,10,H,Edmonton,1,0,3,4,-116,-110,,,,,,,,,,,,,,,,,,,,
1008,2010,51,V,Minnesota,1,0,0,1,-105,-125,,,,,,,H,Carolina,0,1,0,2,-115,105,,,,,,
1008,2010,52,H,Carolina,0,1,0,2,-115,105,,,,,,,,,,,,,,,,,,,,
1008,2010,53,V,Columbus,2,0,0,2,165,170,,,,,,,H,SanJose,2,0,1,3,-185,-200,,,,,,
1008,2010,54,H,SanJose,2,0,1,3,-185,-200,,,,,,,,,,,,,,,,,,,,
1008,2010,55,V,Anaheim,0,0,0,0,163,170,,,,,,,H,Detroit,2,2,0,4,-193,-200,,,,,,
1008,2010,56,H,Detroit,2,2,0,4,-193,-200,,,,,,,,,,,,,,,,,,,,
1008,2010,57,V,Dallas,1,2,0,4,163,165,,,,,,,H,NewJersey,2,1,0,3,-193,-185,,,,,,
1008,2010,58,H,NewJersey,2,1,0,3,-193,-185,,,,,,,,,,,,,,,,,,,,
1008,2010,59,V,Buffalo,1,0,1,2,115,105,,,,,,,H,Ottawa,0,1,0,1,-135,-125,,,,,,
1008,2010,60,H,Ottawa,0,1,0,1,-135,-125,,,,,,,,,,,,,,,,,,,,
1008,2010,61,V,Washington,1,0,1,2,-162,-170,,,,,,,H,Atlanta,1,2,1,4,142,150,,,,,,
1008,2010,62,H,Atlanta,1,2,1,4,142,150,,,,,,,,,,,,,,,,,,,,
1009,2010,1,V,Phoenix,1,3,1,5,107,105,,,,,,,H,Boston,0,0,2,2,-127,-125,,,,,,
1009,2010,2,H,Boston,0,0,2,2,-127,-125,,,,,,,,,,,,,,,,,,,,
1009,2010,3,V,SanJose,1,0,1,2,-162,-160,,,,,,,H,Columbus,1,0,1,3,142,140,,,,,,
1009,2010,4,H,Columbus,1,0,1,3,142,140,,,,,,,,,,,,,,,,,,,,
1009,2010,5,V,NYRangers,2,2,2,6,119,125,,,,,,,H,Buffalo,0,1,2,3,-139,-145,,,,,,
1009,2010,6,H,Buffalo,0,1,2,3,-139,-145,,,,,,,,,,,,,,,,,,,,
1009,2010,7,V,Ottawa,0,0,1,1,115,130,,,,,,,H,Toronto,2,1,2,5,-135,-150,,,,,,
1009,2010,8,H,Toronto,2,1,2,5,-135,-150,,,,,,,,,,,,,,,,,,,,
1009,2010,9,V,Dallas,2,1,1,5,-107,-110,,,,,,,H,NYIslanders,0,2,2,4,-113,-110,,,,,,
1009,2010,10,H,NYIslanders,0,2,2,4,-113,-110,,,,,,,,,,,,,,,,,,,,
1009,2010,11,V,Montreal,1,0,2,3,190,180,,,,,,,H,Pittsburgh,0,1,1,2,-220,-210,,,,,,
1009,2010,12,H,Pittsburgh,0,1,1,2,-220,-210,,,,,,,,,,,,,,,,,,,,
1009,2010,13,V,NewJersey,2,0,0,2,131,135,,,,,,,H,Washington,1,4,2,7,-151,-155,,,,,,
1009,2010,14,H,Washington,1,4,2,7,-151,-155,,,,,,,,,,,,,,,,,,,,
1009,2010,15,V,Atlanta,0,2,1,3,126,120,,,,,,,H,TampaBay,2,2,1,5,-146,-140,,,,,,
1009,2010,16,H,TampaBay,2,2,1,5,-146,-140,,,,,,,,,,,,,,,,,,,,
1009,2010,17,V,Philadelphia,0,0,1,1,-107,110,,,,,,,H,St.Louis,1,0,0,2,-113,-130,,,,,,
1009,2010,18,H,St.Louis,1,0,0,2,-113,-130,,,,,,,,,,,,,,,,,,,,
1009,2010,19,V,Anaheim,0,1,0,1,121,135,,,,,,,H,Nashville,0,3,1,4,-141,-155,,,,,,
1009,2010,20,H,Nashville,0,3,1,4,-141,-155,,,,,,,,,,,,,,,,,,,,
1009,2010,21,V,Detroit,1,1,1,3,131,120,,,,,,,H,Chicago,1,1,0,2,-151,-140,,,,,,
1009,2010,22,H,Chicago,1,1,0,2,-151,-140,,,,,,,,,,,,,,,,,,,,
1009,2010,23,V,LosAngeles,0,0,1,2,136,135,,,,,,,H,Vancouver,0,1,0,1,-156,-155,,,,,,
1009,2010,24,H,Vancouver,0,1,0,1,-156,-155,,,,,,,,,,,,,,,,,,,,
1010,2010,51,V,Boston,0,2,1,3,-109,-120,,,,,,,H,Phoenix,0,0,0,0,-111,100,,,,,,
1010,2010,52,H,Phoenix,0,0,0,0,-111,100,,,,,,,,,,,,,,,,,,,,
1010,2010,53,V,Florida,0,2,0,2,129,130,,,,,,,H,Edmonton,0,3,0,3,-149,-150,,,,,,
1010,2010,54,H,Edmonton,0,3,0,3,-149,-150,,,,,,,,,,,,,,,,,,,,
1010,2010,55,V,LosAngeles,0,0,1,1,-101,-105,,,,,,,H,Calgary,0,1,2,3,-119,-115,,,,,,
1010,2010,56,H,Calgary,0,1,2,3,-119,-115,,,,,,,,,,,,,,,,,,,,
